question,answer
How long does it take to cook Pindi chana?,120 minutes
What is the cooking time for Pindi chana?,120 minutes
How many minutes does it take to cook Pindi chana?,120 minutes
What is the origin of Pindi chana?,Punjab
In which state was Pindi chana created?,Punjab
Which state does Pindi chana belong to?,Punjab
In which region is Pindi chana prepared?,North
What region does Pindi chana belong to?,North
In which region is Pindi chana popular?,North
What is the flavor profile of Pindi chana?,spicy
How does Pindi chana taste?,spicy
What flavor does Pindi chana have?,spicy
What is the food category of Pindi chana?,main course
In which course is Pindi chana typically served?,main course
Is Pindi chana a main dish or a side dish?,main course
What ingredients are needed to prepare Rajma chaval?,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil"
What are the required ingredients to make Rajma chaval?,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil"
What is Rajma chaval made of?,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil"
What is the dietary type of Rajma chaval?,vegetarian
Is Rajma chaval vegetarian or non-vegetarian?,vegetarian
What diet category does Rajma chaval belong to?,vegetarian
How long does it take to prepare Rajma chaval?,15 minutes
What is the preparation time for Rajma chaval?,15 minutes
How many minutes does it take to prepare Rajma chaval?,15 minutes
How long does it take to cook Rajma chaval?,90 minutes
What is the cooking time for Rajma chaval?,90 minutes
How many minutes does it take to cook Rajma chaval?,90 minutes
What is the origin of Rajma chaval?,-1
In which state was Rajma chaval created?,-1
Which state does Rajma chaval belong to?,-1
In which region is Rajma chaval prepared?,North
What region does Rajma chaval belong to?,North
In which region is Rajma chaval popular?,North
What is the flavor profile of Rajma chaval?,spicy
How does Rajma chaval taste?,spicy
What flavor does Rajma chaval have?,spicy
What is the food category of Rajma chaval?,main course
In which course is Rajma chaval typically served?,main course
Is Rajma chaval a main dish or a side dish?,main course
What ingredients are needed to prepare Rongi?,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil"
What are the required ingredients to make Rongi?,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil"
What is Rongi made of?,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil"
What is the dietary type of Rongi?,vegetarian
Is Rongi vegetarian or non-vegetarian?,vegetarian
What diet category does Rongi belong to?,vegetarian
How long does it take to prepare Rongi?,10 minutes
What is the preparation time for Rongi?,10 minutes
How many minutes does it take to prepare Rongi?,10 minutes
How long does it take to cook Rongi?,30 minutes
What is the cooking time for Rongi?,30 minutes
How many minutes does it take to cook Rongi?,30 minutes
What is the origin of Rongi?,Punjab
In which state was Rongi created?,Punjab
Which state does Rongi belong to?,Punjab
In which region is Rongi prepared?,North
What region does Rongi belong to?,North
In which region is Rongi popular?,North
What is the flavor profile of Rongi?,-1
How does Rongi taste?,-1
What flavor does Rongi have?,-1
What is the food category of Rongi?,main course
In which course is Rongi typically served?,main course
Is Rongi a main dish or a side dish?,main course
What ingredients are needed to prepare Samosa?,"Potatoes, green peas, garam masala, ginger, dough"
What are the required ingredients to make Samosa?,"Potatoes, green peas, garam masala, ginger, dough"
What is Samosa made of?,"Potatoes, green peas, garam masala, ginger, dough"
What is the dietary type of Samosa?,vegetarian
Is Samosa vegetarian or non-vegetarian?,vegetarian
What diet category does Samosa belong to?,vegetarian
How long does it take to prepare Samosa?,30 minutes
What is the preparation time for Samosa?,30 minutes
How many minutes does it take to prepare Samosa?,30 minutes
How long does it take to cook Samosa?,30 minutes
What is the cooking time for Samosa?,30 minutes
How many minutes does it take to cook Samosa?,30 minutes
What is the origin of Samosa?,-1
In which state was Samosa created?,-1
Which state does Samosa belong to?,-1
In which region is Samosa prepared?,-1
What region does Samosa belong to?,-1
In which region is Samosa popular?,-1
What is the flavor profile of Samosa?,spicy
How does Samosa taste?,spicy
What flavor does Samosa have?,spicy
What is the food category of Samosa?,snack
In which course is Samosa typically served?,snack
Is Samosa a main dish or a side dish?,snack
What ingredients are needed to prepare Sattu ki roti?,"Sattu, atta, dough, filling, mustard oil"
What are the required ingredients to make Sattu ki roti?,"Sattu, atta, dough, filling, mustard oil"
What is Sattu ki roti made of?,"Sattu, atta, dough, filling, mustard oil"
What is the dietary type of Sattu ki roti?,vegetarian
Is Sattu ki roti vegetarian or non-vegetarian?,vegetarian
What diet category does Sattu ki roti belong to?,vegetarian
How long does it take to prepare Sattu ki roti?,10 minutes
What is the preparation time for Sattu ki roti?,10 minutes
How many minutes does it take to prepare Sattu ki roti?,10 minutes
How long does it take to cook Sattu ki roti?,20 minutes
What is the cooking time for Sattu ki roti?,20 minutes
How many minutes does it take to cook Sattu ki roti?,20 minutes
What is the origin of Sattu ki roti?,Bihar
In which state was Sattu ki roti created?,Bihar
Which state does Sattu ki roti belong to?,Bihar
In which region is Sattu ki roti prepared?,North
What region does Sattu ki roti belong to?,North
In which region is Sattu ki roti popular?,North
What is the flavor profile of Sattu ki roti?,spicy
How does Sattu ki roti taste?,spicy
What flavor does Sattu ki roti have?,spicy
What is the food category of Sattu ki roti?,main course
In which course is Sattu ki roti typically served?,main course
Is Sattu ki roti a main dish or a side dish?,main course
What ingredients are needed to prepare Shahi paneer?,"Cottage cheese, malai, garam masala, ginger, tomato"
What are the required ingredients to make Shahi paneer?,"Cottage cheese, malai, garam masala, ginger, tomato"
What is Shahi paneer made of?,"Cottage cheese, malai, garam masala, ginger, tomato"
What is the dietary type of Shahi paneer?,vegetarian
Is Shahi paneer vegetarian or non-vegetarian?,vegetarian
What diet category does Shahi paneer belong to?,vegetarian
How long does it take to prepare Shahi paneer?,20 minutes
What is the preparation time for Shahi paneer?,20 minutes
How many minutes does it take to prepare Shahi paneer?,20 minutes
How long does it take to cook Shahi paneer?,40 minutes
What is the cooking time for Shahi paneer?,40 minutes
How many minutes does it take to cook Shahi paneer?,40 minutes
What is the origin of Shahi paneer?,Punjab
In which state was Shahi paneer created?,Punjab
Which state does Shahi paneer belong to?,Punjab
In which region is Shahi paneer prepared?,North
What region does Shahi paneer belong to?,North
In which region is Shahi paneer popular?,North
What is the flavor profile of Shahi paneer?,spicy
How does Shahi paneer taste?,spicy
What flavor does Shahi paneer have?,spicy
What is the food category of Shahi paneer?,main course
In which course is Shahi paneer typically served?,main course
Is Shahi paneer a main dish or a side dish?,main course
What ingredients are needed to prepare Shahi tukra?,"Rose water, milk, white bread slices, saffron, almonds"
What are the required ingredients to make Shahi tukra?,"Rose water, milk, white bread slices, saffron, almonds"
What is Shahi tukra made of?,"Rose water, milk, white bread slices, saffron, almonds"
What is the dietary type of Shahi tukra?,vegetarian
Is Shahi tukra vegetarian or non-vegetarian?,vegetarian
What diet category does Shahi tukra belong to?,vegetarian
How long does it take to prepare Shahi tukra?,10 minutes
What is the preparation time for Shahi tukra?,10 minutes
How many minutes does it take to prepare Shahi tukra?,10 minutes
How long does it take to cook Shahi tukra?,30 minutes
What is the cooking time for Shahi tukra?,30 minutes
How many minutes does it take to cook Shahi tukra?,30 minutes
What is the origin of Shahi tukra?,Telangana
In which state was Shahi tukra created?,Telangana
Which state does Shahi tukra belong to?,Telangana
In which region is Shahi tukra prepared?,South
What region does Shahi tukra belong to?,South
In which region is Shahi tukra popular?,South
What is the flavor profile of Shahi tukra?,sweet
How does Shahi tukra taste?,sweet
What flavor does Shahi tukra have?,sweet
What is the food category of Shahi tukra?,dessert
In which course is Shahi tukra typically served?,dessert
Is Shahi tukra a main dish or a side dish?,dessert
What ingredients are needed to prepare Vegetable jalfrezi?,"Baby corn, french beans, garam masala, ginger, carrot"
What are the required ingredients to make Vegetable jalfrezi?,"Baby corn, french beans, garam masala, ginger, carrot"
What is Vegetable jalfrezi made of?,"Baby corn, french beans, garam masala, ginger, carrot"
What is the dietary type of Vegetable jalfrezi?,vegetarian
Is Vegetable jalfrezi vegetarian or non-vegetarian?,vegetarian
What diet category does Vegetable jalfrezi belong to?,vegetarian
How long does it take to prepare Vegetable jalfrezi?,10 minutes
What is the preparation time for Vegetable jalfrezi?,10 minutes
How many minutes does it take to prepare Vegetable jalfrezi?,10 minutes
How long does it take to cook Vegetable jalfrezi?,30 minutes
What is the cooking time for Vegetable jalfrezi?,30 minutes
How many minutes does it take to cook Vegetable jalfrezi?,30 minutes
What is the origin of Vegetable jalfrezi?,Punjab
In which state was Vegetable jalfrezi created?,Punjab
Which state does Vegetable jalfrezi belong to?,Punjab
In which region is Vegetable jalfrezi prepared?,North
What region does Vegetable jalfrezi belong to?,North
In which region is Vegetable jalfrezi popular?,North
What is the flavor profile of Vegetable jalfrezi?,spicy
How does Vegetable jalfrezi taste?,spicy
What flavor does Vegetable jalfrezi have?,spicy
What is the food category of Vegetable jalfrezi?,main course
In which course is Vegetable jalfrezi typically served?,main course
Is Vegetable jalfrezi a main dish or a side dish?,main course
What ingredients are needed to prepare Tandoori Chicken?,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil"
What are the required ingredients to make Tandoori Chicken?,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil"
What is Tandoori Chicken made of?,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil"
What is the dietary type of Tandoori Chicken?,non vegetarian
Is Tandoori Chicken vegetarian or non-vegetarian?,non vegetarian
What diet category does Tandoori Chicken belong to?,non vegetarian
How long does it take to prepare Tandoori Chicken?,240 minutes
What is the preparation time for Tandoori Chicken?,240 minutes
How many minutes does it take to prepare Tandoori Chicken?,240 minutes
How long does it take to cook Tandoori Chicken?,30 minutes
What is the cooking time for Tandoori Chicken?,30 minutes
How many minutes does it take to cook Tandoori Chicken?,30 minutes
What is the origin of Tandoori Chicken?,Punjab
In which state was Tandoori Chicken created?,Punjab
Which state does Tandoori Chicken belong to?,Punjab
In which region is Tandoori Chicken prepared?,North
What region does Tandoori Chicken belong to?,North
In which region is Tandoori Chicken popular?,North
What is the flavor profile of Tandoori Chicken?,spicy
How does Tandoori Chicken taste?,spicy
What flavor does Tandoori Chicken have?,spicy
What is the food category of Tandoori Chicken?,main course
In which course is Tandoori Chicken typically served?,main course
Is Tandoori Chicken a main dish or a side dish?,main course
What ingredients are needed to prepare Tandoori Fish Tikka?,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper"
What are the required ingredients to make Tandoori Fish Tikka?,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper"
What is Tandoori Fish Tikka made of?,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper"
What is the dietary type of Tandoori Fish Tikka?,non vegetarian
Is Tandoori Fish Tikka vegetarian or non-vegetarian?,non vegetarian
What diet category does Tandoori Fish Tikka belong to?,non vegetarian
How long does it take to prepare Tandoori Fish Tikka?,240 minutes
What is the preparation time for Tandoori Fish Tikka?,240 minutes
How many minutes does it take to prepare Tandoori Fish Tikka?,240 minutes
How long does it take to cook Tandoori Fish Tikka?,30 minutes
What is the cooking time for Tandoori Fish Tikka?,30 minutes
How many minutes does it take to cook Tandoori Fish Tikka?,30 minutes
What is the origin of Tandoori Fish Tikka?,Punjab
In which state was Tandoori Fish Tikka created?,Punjab
Which state does Tandoori Fish Tikka belong to?,Punjab
In which region is Tandoori Fish Tikka prepared?,North
What region does Tandoori Fish Tikka belong to?,North
In which region is Tandoori Fish Tikka popular?,North
What is the flavor profile of Tandoori Fish Tikka?,spicy
How does Tandoori Fish Tikka taste?,spicy
What flavor does Tandoori Fish Tikka have?,spicy
What is the food category of Tandoori Fish Tikka?,starter
In which course is Tandoori Fish Tikka typically served?,starter
Is Tandoori Fish Tikka a main dish or a side dish?,starter
What ingredients are needed to prepare Attu?,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli"
What are the required ingredients to make Attu?,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli"
What is Attu made of?,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli"
What is the dietary type of Attu?,vegetarian
Is Attu vegetarian or non-vegetarian?,vegetarian
What diet category does Attu belong to?,vegetarian
How long does it take to prepare Attu?,150 minutes
What is the preparation time for Attu?,150 minutes
How many minutes does it take to prepare Attu?,150 minutes
How long does it take to cook Attu?,25 minutes
What is the cooking time for Attu?,25 minutes
How many minutes does it take to cook Attu?,25 minutes
What is the origin of Attu?,Andhra Pradesh
In which state was Attu created?,Andhra Pradesh
Which state does Attu belong to?,Andhra Pradesh
In which region is Attu prepared?,South
What region does Attu belong to?,South
In which region is Attu popular?,South
What is the flavor profile of Attu?,spicy
How does Attu taste?,spicy
What flavor does Attu have?,spicy
What is the food category of Attu?,snack
In which course is Attu typically served?,snack
Is Attu a main dish or a side dish?,snack
What ingredients are needed to prepare Avial?,"Raw banana, elephant foot yam, long beans, tindora, urad dal"
What are the required ingredients to make Avial?,"Raw banana, elephant foot yam, long beans, tindora, urad dal"
What is Avial made of?,"Raw banana, elephant foot yam, long beans, tindora, urad dal"
What is the dietary type of Avial?,vegetarian
Is Avial vegetarian or non-vegetarian?,vegetarian
What diet category does Avial belong to?,vegetarian
How long does it take to prepare Avial?,30 minutes
What is the preparation time for Avial?,30 minutes
How many minutes does it take to prepare Avial?,30 minutes
How long does it take to cook Avial?,45 minutes
What is the cooking time for Avial?,45 minutes
How many minutes does it take to cook Avial?,45 minutes
What is the origin of Avial?,Kerala
In which state was Avial created?,Kerala
Which state does Avial belong to?,Kerala
In which region is Avial prepared?,South
What region does Avial belong to?,South
In which region is Avial popular?,South
What is the flavor profile of Avial?,spicy
How does Avial taste?,spicy
What flavor does Avial have?,spicy
What is the food category of Avial?,main course
In which course is Avial typically served?,main course
Is Avial a main dish or a side dish?,main course
What ingredients are needed to prepare Bisi bele bath?,"Split pigeon peas, chana dal, urad dal, green peas, french beans"
What are the required ingredients to make Bisi bele bath?,"Split pigeon peas, chana dal, urad dal, green peas, french beans"
What is Bisi bele bath made of?,"Split pigeon peas, chana dal, urad dal, green peas, french beans"
What is the dietary type of Bisi bele bath?,vegetarian
Is Bisi bele bath vegetarian or non-vegetarian?,vegetarian
What diet category does Bisi bele bath belong to?,vegetarian
How long does it take to prepare Bisi bele bath?,30 minutes
What is the preparation time for Bisi bele bath?,30 minutes
How many minutes does it take to prepare Bisi bele bath?,30 minutes
How long does it take to cook Bisi bele bath?,45 minutes
What is the cooking time for Bisi bele bath?,45 minutes
How many minutes does it take to cook Bisi bele bath?,45 minutes
What is the origin of Bisi bele bath?,Karnataka
In which state was Bisi bele bath created?,Karnataka
Which state does Bisi bele bath belong to?,Karnataka
In which region is Bisi bele bath prepared?,South
What region does Bisi bele bath belong to?,South
In which region is Bisi bele bath popular?,South
What is the flavor profile of Bisi bele bath?,spicy
How does Bisi bele bath taste?,spicy
What flavor does Bisi bele bath have?,spicy
What is the food category of Bisi bele bath?,main course
In which course is Bisi bele bath typically served?,main course
Is Bisi bele bath a main dish or a side dish?,main course
What ingredients are needed to prepare Currivepillai sadam ?,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves"
What are the required ingredients to make Currivepillai sadam ?,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves"
What is Currivepillai sadam  made of?,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves"
What is the dietary type of Currivepillai sadam ?,vegetarian
Is Currivepillai sadam  vegetarian or non-vegetarian?,vegetarian
What diet category does Currivepillai sadam  belong to?,vegetarian
How long does it take to prepare Currivepillai sadam ?,10 minutes
What is the preparation time for Currivepillai sadam ?,10 minutes
How many minutes does it take to prepare Currivepillai sadam ?,10 minutes
How long does it take to cook Currivepillai sadam ?,20 minutes
What is the cooking time for Currivepillai sadam ?,20 minutes
How many minutes does it take to cook Currivepillai sadam ?,20 minutes
What is the origin of Currivepillai sadam ?,Tamil Nadu
In which state was Currivepillai sadam  created?,Tamil Nadu
Which state does Currivepillai sadam  belong to?,Tamil Nadu
In which region is Currivepillai sadam  prepared?,South
What region does Currivepillai sadam  belong to?,South
In which region is Currivepillai sadam  popular?,South
What is the flavor profile of Currivepillai sadam ?,spicy
How does Currivepillai sadam  taste?,spicy
What flavor does Currivepillai sadam  have?,spicy
What is the food category of Currivepillai sadam ?,main course
In which course is Currivepillai sadam  typically served?,main course
Is Currivepillai sadam  a main dish or a side dish?,main course
What ingredients are needed to prepare Dosa?,"Chana dal, urad dal, whole urad dal, blend rice, rock salt"
What are the required ingredients to make Dosa?,"Chana dal, urad dal, whole urad dal, blend rice, rock salt"
What is Dosa made of?,"Chana dal, urad dal, whole urad dal, blend rice, rock salt"
What is the dietary type of Dosa?,vegetarian
Is Dosa vegetarian or non-vegetarian?,vegetarian
What diet category does Dosa belong to?,vegetarian
How long does it take to prepare Dosa?,360 minutes
What is the preparation time for Dosa?,360 minutes
How many minutes does it take to prepare Dosa?,360 minutes
How long does it take to cook Dosa?,90 minutes
What is the cooking time for Dosa?,90 minutes
How many minutes does it take to cook Dosa?,90 minutes
What is the origin of Dosa?,-1
In which state was Dosa created?,-1
Which state does Dosa belong to?,-1
In which region is Dosa prepared?,South
What region does Dosa belong to?,South
In which region is Dosa popular?,South
What is the flavor profile of Dosa?,spicy
How does Dosa taste?,spicy
What flavor does Dosa have?,spicy
What is the food category of Dosa?,snack
In which course is Dosa typically served?,snack
Is Dosa a main dish or a side dish?,snack
What ingredients are needed to prepare Idiappam?,"Rice flour, hot water, grated coconut"
What are the required ingredients to make Idiappam?,"Rice flour, hot water, grated coconut"
What is Idiappam made of?,"Rice flour, hot water, grated coconut"
What is the dietary type of Idiappam?,vegetarian
Is Idiappam vegetarian or non-vegetarian?,vegetarian
What diet category does Idiappam belong to?,vegetarian
How long does it take to prepare Idiappam?,120 minutes
What is the preparation time for Idiappam?,120 minutes
How many minutes does it take to prepare Idiappam?,120 minutes
How long does it take to cook Idiappam?,30 minutes
What is the cooking time for Idiappam?,30 minutes
How many minutes does it take to cook Idiappam?,30 minutes
What is the origin of Idiappam?,Tamil Nadu
In which state was Idiappam created?,Tamil Nadu
Which state does Idiappam belong to?,Tamil Nadu
In which region is Idiappam prepared?,South
What region does Idiappam belong to?,South
In which region is Idiappam popular?,South
What is the flavor profile of Idiappam?,spicy
How does Idiappam taste?,spicy
What flavor does Idiappam have?,spicy
What is the food category of Idiappam?,snack
In which course is Idiappam typically served?,snack
Is Idiappam a main dish or a side dish?,snack
What ingredients are needed to prepare Idli?,"Split urad dal, urad dal, idli rice, thick poha, rock salt"
What are the required ingredients to make Idli?,"Split urad dal, urad dal, idli rice, thick poha, rock salt"
What is Idli made of?,"Split urad dal, urad dal, idli rice, thick poha, rock salt"
What is the dietary type of Idli?,vegetarian
Is Idli vegetarian or non-vegetarian?,vegetarian
What diet category does Idli belong to?,vegetarian
How long does it take to prepare Idli?,360 minutes
What is the preparation time for Idli?,360 minutes
How many minutes does it take to prepare Idli?,360 minutes
How long does it take to cook Idli?,90 minutes
What is the cooking time for Idli?,90 minutes
How many minutes does it take to cook Idli?,90 minutes
What is the origin of Idli?,-1
In which state was Idli created?,-1
Which state does Idli belong to?,-1
In which region is Idli prepared?,South
What region does Idli belong to?,South
In which region is Idli popular?,South
What is the flavor profile of Idli?,spicy
How does Idli taste?,spicy
What flavor does Idli have?,spicy
What is the food category of Idli?,snack
In which course is Idli typically served?,snack
Is Idli a main dish or a side dish?,snack
What ingredients are needed to prepare Kanji?,"Carrot, yellow mustard, red chilli, black salt"
What are the required ingredients to make Kanji?,"Carrot, yellow mustard, red chilli, black salt"
What is Kanji made of?,"Carrot, yellow mustard, red chilli, black salt"
What is the dietary type of Kanji?,vegetarian
Is Kanji vegetarian or non-vegetarian?,vegetarian
What diet category does Kanji belong to?,vegetarian
How long does it take to prepare Kanji?,10 minutes
What is the preparation time for Kanji?,10 minutes
How many minutes does it take to prepare Kanji?,10 minutes
How long does it take to cook Kanji?,45 minutes
What is the cooking time for Kanji?,45 minutes
How many minutes does it take to cook Kanji?,45 minutes
What is the origin of Kanji?,Kerala
In which state was Kanji created?,Kerala
Which state does Kanji belong to?,Kerala
In which region is Kanji prepared?,South
What region does Kanji belong to?,South
In which region is Kanji popular?,South
What is the flavor profile of Kanji?,-1
How does Kanji taste?,-1
What flavor does Kanji have?,-1
What is the food category of Kanji?,snack
In which course is Kanji typically served?,snack
Is Kanji a main dish or a side dish?,snack
What ingredients are needed to prepare Kaara kozhambu?,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato"
What are the required ingredients to make Kaara kozhambu?,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato"
What is Kaara kozhambu made of?,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato"
What is the dietary type of Kaara kozhambu?,vegetarian
Is Kaara kozhambu vegetarian or non-vegetarian?,vegetarian
What diet category does Kaara kozhambu belong to?,vegetarian
How long does it take to prepare Kaara kozhambu?,-1 minutes
What is the preparation time for Kaara kozhambu?,-1 minutes
How many minutes does it take to prepare Kaara kozhambu?,-1 minutes
How long does it take to cook Kaara kozhambu?,-1 minutes
What is the cooking time for Kaara kozhambu?,-1 minutes
How many minutes does it take to cook Kaara kozhambu?,-1 minutes
What is the origin of Kaara kozhambu?,Tamil Nadu
In which state was Kaara kozhambu created?,Tamil Nadu
Which state does Kaara kozhambu belong to?,Tamil Nadu
In which region is Kaara kozhambu prepared?,South
What region does Kaara kozhambu belong to?,South
In which region is Kaara kozhambu popular?,South
What is the flavor profile of Kaara kozhambu?,spicy
How does Kaara kozhambu taste?,spicy
What flavor does Kaara kozhambu have?,spicy
What is the food category of Kaara kozhambu?,main course
In which course is Kaara kozhambu typically served?,main course
Is Kaara kozhambu a main dish or a side dish?,main course
What ingredients are needed to prepare Keerai kootu?,"Moong dal, chana dal, spinach, urad dal, coconut oil"
What are the required ingredients to make Keerai kootu?,"Moong dal, chana dal, spinach, urad dal, coconut oil"
What is Keerai kootu made of?,"Moong dal, chana dal, spinach, urad dal, coconut oil"
What is the dietary type of Keerai kootu?,vegetarian
Is Keerai kootu vegetarian or non-vegetarian?,vegetarian
What diet category does Keerai kootu belong to?,vegetarian
How long does it take to prepare Keerai kootu?,20 minutes
What is the preparation time for Keerai kootu?,20 minutes
How many minutes does it take to prepare Keerai kootu?,20 minutes
How long does it take to cook Keerai kootu?,30 minutes
What is the cooking time for Keerai kootu?,30 minutes
How many minutes does it take to cook Keerai kootu?,30 minutes
What is the origin of Keerai kootu?,Tamil Nadu
In which state was Keerai kootu created?,Tamil Nadu
Which state does Keerai kootu belong to?,Tamil Nadu
In which region is Keerai kootu prepared?,South
What region does Keerai kootu belong to?,South
In which region is Keerai kootu popular?,South
What is the flavor profile of Keerai kootu?,spicy
How does Keerai kootu taste?,spicy
What flavor does Keerai kootu have?,spicy
What is the food category of Keerai kootu?,main course
In which course is Keerai kootu typically served?,main course
Is Keerai kootu a main dish or a side dish?,main course
What ingredients are needed to prepare Keerai masiyal?,"Urad dal, curry leaves, sugar, mustard seeds, spinach"
What are the required ingredients to make Keerai masiyal?,"Urad dal, curry leaves, sugar, mustard seeds, spinach"
What is Keerai masiyal made of?,"Urad dal, curry leaves, sugar, mustard seeds, spinach"
What is the dietary type of Keerai masiyal?,vegetarian
Is Keerai masiyal vegetarian or non-vegetarian?,vegetarian
What diet category does Keerai masiyal belong to?,vegetarian
How long does it take to prepare Keerai masiyal?,-1 minutes
What is the preparation time for Keerai masiyal?,-1 minutes
How many minutes does it take to prepare Keerai masiyal?,-1 minutes
How long does it take to cook Keerai masiyal?,-1 minutes
What is the cooking time for Keerai masiyal?,-1 minutes
How many minutes does it take to cook Keerai masiyal?,-1 minutes
What is the origin of Keerai masiyal?,Tamil Nadu
In which state was Keerai masiyal created?,Tamil Nadu
Which state does Keerai masiyal belong to?,Tamil Nadu
In which region is Keerai masiyal prepared?,South
What region does Keerai masiyal belong to?,South
In which region is Keerai masiyal popular?,South
What is the flavor profile of Keerai masiyal?,spicy
How does Keerai masiyal taste?,spicy
What flavor does Keerai masiyal have?,spicy
What is the food category of Keerai masiyal?,main course
In which course is Keerai masiyal typically served?,main course
Is Keerai masiyal a main dish or a side dish?,main course
What ingredients are needed to prepare Keerai sadam?,"Greens, tomato, mustard seeds, fenugreek seeds"
What are the required ingredients to make Keerai sadam?,"Greens, tomato, mustard seeds, fenugreek seeds"
What is Keerai sadam made of?,"Greens, tomato, mustard seeds, fenugreek seeds"
What is the dietary type of Keerai sadam?,vegetarian
Is Keerai sadam vegetarian or non-vegetarian?,vegetarian
What diet category does Keerai sadam belong to?,vegetarian
How long does it take to prepare Keerai sadam?,10 minutes
What is the preparation time for Keerai sadam?,10 minutes
How many minutes does it take to prepare Keerai sadam?,10 minutes
How long does it take to cook Keerai sadam?,20 minutes
What is the cooking time for Keerai sadam?,20 minutes
How many minutes does it take to cook Keerai sadam?,20 minutes
What is the origin of Keerai sadam?,Tamil Nadu
In which state was Keerai sadam created?,Tamil Nadu
Which state does Keerai sadam belong to?,Tamil Nadu
In which region is Keerai sadam prepared?,South
What region does Keerai sadam belong to?,South
In which region is Keerai sadam popular?,South
What is the flavor profile of Keerai sadam?,spicy
How does Keerai sadam taste?,spicy
What flavor does Keerai sadam have?,spicy
What is the food category of Keerai sadam?,main course
In which course is Keerai sadam typically served?,main course
Is Keerai sadam a main dish or a side dish?,main course
What ingredients are needed to prepare Keerai poriyal?,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili"
What are the required ingredients to make Keerai poriyal?,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili"
What is Keerai poriyal made of?,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili"
What is the dietary type of Keerai poriyal?,vegetarian
Is Keerai poriyal vegetarian or non-vegetarian?,vegetarian
What diet category does Keerai poriyal belong to?,vegetarian
How long does it take to prepare Keerai poriyal?,20 minutes
What is the preparation time for Keerai poriyal?,20 minutes
How many minutes does it take to prepare Keerai poriyal?,20 minutes
How long does it take to cook Keerai poriyal?,30 minutes
What is the cooking time for Keerai poriyal?,30 minutes
How many minutes does it take to cook Keerai poriyal?,30 minutes
What is the origin of Keerai poriyal?,Tamil Nadu
In which state was Keerai poriyal created?,Tamil Nadu
Which state does Keerai poriyal belong to?,Tamil Nadu
In which region is Keerai poriyal prepared?,South
What region does Keerai poriyal belong to?,South
In which region is Keerai poriyal popular?,South
What is the flavor profile of Keerai poriyal?,spicy
How does Keerai poriyal taste?,spicy
What flavor does Keerai poriyal have?,spicy
What is the food category of Keerai poriyal?,main course
In which course is Keerai poriyal typically served?,main course
Is Keerai poriyal a main dish or a side dish?,main course
What ingredients are needed to prepare Beef Fry?,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder"
What are the required ingredients to make Beef Fry?,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder"
What is Beef Fry made of?,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder"
What is the dietary type of Beef Fry?,non vegetarian
Is Beef Fry vegetarian or non-vegetarian?,non vegetarian
What diet category does Beef Fry belong to?,non vegetarian
How long does it take to prepare Beef Fry?,10 minutes
What is the preparation time for Beef Fry?,10 minutes
How many minutes does it take to prepare Beef Fry?,10 minutes
How long does it take to cook Beef Fry?,60 minutes
What is the cooking time for Beef Fry?,60 minutes
How many minutes does it take to cook Beef Fry?,60 minutes
What is the origin of Beef Fry?,Kerala
In which state was Beef Fry created?,Kerala
Which state does Beef Fry belong to?,Kerala
In which region is Beef Fry prepared?,South
What region does Beef Fry belong to?,South
In which region is Beef Fry popular?,South
What is the flavor profile of Beef Fry?,spicy
How does Beef Fry taste?,spicy
What flavor does Beef Fry have?,spicy
What is the food category of Beef Fry?,main course
In which course is Beef Fry typically served?,main course
Is Beef Fry a main dish or a side dish?,main course
What ingredients are needed to prepare Kootu?,"Chana dal, urad dal, potato, beans, peas"
What are the required ingredients to make Kootu?,"Chana dal, urad dal, potato, beans, peas"
What is Kootu made of?,"Chana dal, urad dal, potato, beans, peas"
What is the dietary type of Kootu?,vegetarian
Is Kootu vegetarian or non-vegetarian?,vegetarian
What diet category does Kootu belong to?,vegetarian
